General poloidal plus toroidal field
135 3 -3
 1  0  9.364696e+00 -1.134135e-06
 1  1  2.767176e+01 -1.533867e+00
 2  0 -1.663611e+00 -1.134135e-06
 2  1  1.343501e+01  3.895565e-01
 2  2 -4.743703e+00 -1.177311e+01
 3  0 -2.496996e+00 -1.134135e-06
 3  1  3.910597e+00  7.346956e-01
 3  2 -2.458653e+00 -6.112595e+00
 3  3  2.769724e+00 -7.851568e+00
 4  0 -8.660945e-01 -1.134135e-06
 4  1  7.260477e-01  2.050650e-01
 4  2 -5.779176e-01 -1.542620e+00
 4  3  9.588628e-01 -4.240079e+00
 4  4  1.703090e+00 -2.893997e+00
 5  0 -4.447505e-02 -1.134135e-06
 5  1  2.314983e-01 -3.839359e-02
 5  2 -9.945781e-02 -3.320855e-01
 5  3 -8.265761e-02 -8.209219e-01
 5  4  4.543771e-01 -1.047099e+00
 5  5  1.762996e-02 -1.041626e+00
 6  0  1.685600e-02 -1.134135e-06
 6  1  7.793754e-02 -2.325919e-03
 6  2 -4.391501e-02 -1.066133e-01
 6  3 -7.335004e-02  1.510693e-02
 6  4  2.765399e-02  6.102009e-03
 6  5 -5.129268e-02 -1.575989e-01
 6  6 -1.521375e-01  8.300190e-02
 7  0 -1.138316e-02 -1.134135e-06
 7  1  8.870158e-03  7.923190e-03
 7  2 -1.191311e-04  1.646165e-02
 7  3 -4.901956e-03 -6.613862e-03
 7  4  5.314923e-02  2.256641e-02
 7  5 -5.716120e-03  2.133491e-02
 7  6 -3.121188e-03  2.215875e-02
 7  7  3.580615e-02  1.406779e-02
 8  0 -2.575084e-03 -1.134135e-06
 8  1  5.932871e-03  1.474481e-04
 8  2  2.775341e-03  6.749720e-03
 8  3 -8.722598e-03  9.680011e-03
 8  4  8.859123e-03 -1.136187e-02
 8  5  1.188654e-02 -4.102888e-02
 8  6 -1.374214e-02 -1.383448e-02
 8  7  9.663831e-03  2.042233e-03
 8  8  1.290011e-03 -2.193096e-03
 9  0 -1.426862e-03 -1.134135e-06
 9  1 -1.193549e-03  3.281283e-03
 9  2 -8.575855e-04 -1.783702e-03
 9  3  3.973074e-03  6.916444e-03
 9  4  5.129893e-03  1.784336e-03
 9  5 -7.311818e-04 -4.246598e-03
 9  6 -8.566837e-03 -3.198229e-04
 9  7  1.825616e-03  6.319405e-03
 9  8 -2.158870e-03  1.141854e-03
 9  9  1.378714e-03  2.517409e-03
10  0 -1.362558e-03 -1.134135e-06
10  1 -1.802860e-03  6.067118e-04
10  2  9.058230e-04  2.317596e-03
10  3  2.438891e-03 -2.935312e-03
10  4  5.229538e-03 -5.772597e-03
10  5 -3.671429e-04  9.290508e-04
10  6  5.794586e-03  4.379381e-03
10  7 -4.374169e-03  9.160050e-04
10  8 -3.229793e-03  1.158358e-03
10  9 -2.135121e-03  5.907049e-04
10 10 -7.985094e-05 -2.401869e-04
11  0 -1.990228e-04 -1.134135e-06
11  1 -6.353357e-05 -3.980157e-04
11  2 -7.508584e-04 -3.582776e-03
11  3 -1.197337e-04  1.244022e-04
11  4 -6.505805e-03 -7.139663e-04
